Data,Timestamp,Temperature
2024-12-11,13:02:16,29.1325
2024-12-11,13:02:18,29.1325
2024-12-11,13:02:19,29.1325
2024-12-11,13:02:20,29.1325
2024-12-11,13:02:21,29.1325
2024-12-11,13:02:22,29.7206
2024-12-11,13:02:23,29.7214
2024-12-11,13:02:24,29.7214
2024-12-11,13:02:25,29.724
2024-12-11,13:02:26,29.7238
2024-12-11,13:02:27,29.7261
2024-12-11,13:02:28,29.7261
2024-12-11,13:02:29,29.7255
2024-12-11,13:02:30,29.7292
2024-12-11,13:02:31,29.7299
2024-12-11,13:02:32,29.7318
2024-12-11,13:02:33,29.7314
2024-12-11,13:02:34,29.7331
2024-12-11,13:02:35,29.7331
2024-12-11,13:02:36,29.7333
2024-12-11,13:02:37,29.7348
2024-12-11,13:02:38,29.7353
2024-12-11,13:02:39,29.7366
2024-12-11,13:02:40,29.7365
2024-12-11,13:02:41,29.7379
2024-12-11,13:02:42,29.7383
2024-12-11,13:02:43,29.7408
2024-12-11,13:02:44,29.742
2024-12-11,13:02:45,29.742
2024-12-11,13:02:46,29.7438
2024-12-11,13:02:47,29.7438
2024-12-11,13:02:48,29.7443
2024-12-11,13:02:49,29.7462
2024-12-11,13:02:50,29.746
2024-12-11,13:02:52,29.746
2024-12-11,13:02:53,29.7475
2024-12-11,13:02:54,29.7485
2024-12-11,13:02:55,29.7492
2024-12-11,13:02:56,29.7514
2024-12-11,13:02:57,29.753
2024-12-11,13:02:58,29.753
2024-12-11,13:02:59,29.7532
2024-12-11,13:03:00,29.7541
2024-12-11,13:03:01,29.755
2024-12-11,13:03:02,29.7579
2024-12-11,13:03:03,29.7567
2024-12-11,13:03:04,29.7567
2024-12-11,13:03:05,29.7587
2024-12-11,13:03:06,29.759
2024-12-11,13:03:07,29.7604
2024-12-11,13:03:08,29.7627
2024-12-11,13:03:09,29.7656
2024-12-11,13:03:10,29.7656
2024-12-11,13:03:11,29.7654
2024-12-11,13:03:12,29.7656
2024-12-11,13:03:13,29.7665
2024-12-11,13:03:14,29.7677
2024-12-11,13:03:15,29.7707
2024-12-11,13:03:16,29.7707
2024-12-11,13:03:17,29.7694
2024-12-11,13:03:18,29.7713
2024-12-11,13:03:19,29.7726
2024-12-11,13:03:20,29.7739
2024-12-11,13:03:21,29.7739
2024-12-11,13:03:22,29.7745
2024-12-11,13:03:23,29.7771
2024-12-11,13:03:24,29.7766
2024-12-11,13:03:25,29.7771
2024-12-11,13:03:26,29.7806
2024-12-11,13:03:27,29.7803
2024-12-11,13:03:28,29.7803
2024-12-11,13:03:29,29.7832
2024-12-11,13:03:31,29.7833
2024-12-11,13:03:32,29.7847
2024-12-11,13:03:33,29.7844
2024-12-11,13:03:34,29.7857
2024-12-11,13:03:35,29.7867
2024-12-11,13:03:36,29.7889
2024-12-11,13:03:37,29.7889
2024-12-11,13:03:38,29.7886
2024-12-11,13:03:39,29.7912
2024-12-11,13:03:40,29.7896
2024-12-11,13:03:41,29.791
2024-12-11,13:03:42,29.7918
2024-12-11,13:03:43,29.7918
2024-12-11,13:03:44,29.7947
2024-12-11,13:03:45,29.7944
2024-12-11,13:03:46,29.7955
2024-12-11,13:03:47,29.7959
2024-12-11,13:03:48,29.7962
2024-12-11,13:03:49,29.7984
2024-12-11,13:03:50,29.7986
2024-12-11,13:03:51,29.7986
2024-12-11,13:03:52,29.7986
2024-12-11,13:03:53,29.8002
2024-12-11,13:03:54,29.8002
