Timestamp.abs;Timestamp.first;Timestamp.last;Sampling.min;Sampling.max;Any flag;Fault A flag;Fault B flag;Temperature;Humidity;Gate A.Top.mean;Gate A.Top.std;Gate A.Base.mean;Gate A.Base.std;Gate A.AI Freq mean;Gate A.AI Freq std;Gate A.Flags sum;Gate B.Top.mean;Gate B.Top.std;Gate B.Base.mean;Gate B.Base.std;Gate B.AI Freq mean;Gate B.AI Freq std;Gate B.Flags sum;Fault A.Pulse Width.max;Fault A.Pulse Width.min;Fault B.Pulse Width.max;Fault B.Pulse Width.min;Voltage.mean;Voltage.std;Current.mean;Current.std
2024-09-03 09:34:50.163;0.0000000;1.1999900;100.00000k;100.00000k;FALSE;FALSE;FALSE;28.495397;50.500000;14.744667;536.56306m;-2.8378970;154.01229m;10.000160k;783.60548m;0.0000000;15.134847;606.77940m;-3.0912680;171.93249m;10.000109k;536.02522m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.861102;425.23394u;327.64151m;16.306617u
2024-09-03 09:34:51.321;1.2000000;16.849990;100.00000k;100.00000k;FALSE;FALSE;FALSE;28.578719;50.600000;14.827248;569.50902m;-2.8519672;153.71389m;10.000097k;517.68682m;0.0000000;15.152323;579.12596m;-3.0962264;161.92951m;10.000095k;504.86506m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.861404;514.97465u;327.61257m;45.232445u
2024-09-03 09:35:06.971;16.850000;32.399990;100.00000k;100.00000k;FALSE;FALSE;FALSE;28.718117;50.300000;14.821065;575.34634m;-2.8455247;153.18704m;10.000105k;524.67547m;0.0000000;15.146247;591.87861m;-3.0894893;161.61190m;10.000105k;517.05818m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.861867;551.31545u;327.41342m;99.703689u
2024-09-03 09:35:22.521;32.400000;47.999990;100.00000k;100.00000k;FALSE;FALSE;FALSE;28.760489;50.400000;14.822611;575.77758m;-2.8401591;152.65121m;10.000104k;523.59245m;0.0000000;15.148865;592.28368m;-3.0856277;160.27028m;10.000109k;549.96509m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.862287;521.75395u;327.24434m;31.276686u
2024-09-03 09:35:38.121;48.000000;63.599990;100.00000k;100.00000k;FALSE;FALSE;FALSE;28.858782;50.500000;14.820669;567.46441m;-2.8343426;151.69591m;10.000097k;491.85915m;0.0000000;15.147135;576.11503m;-3.0808370;159.78871m;10.000109k;549.87717m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.862766;506.55040u;327.20294m;42.911404u
2024-09-03 09:35:53.721;63.600000;79.149990;100.00000k;100.00000k;FALSE;FALSE;FALSE;28.871069;50.300000;14.814409;573.50144m;-2.8302479;151.27198m;10.000116k;564.63534m;0.0000000;15.140117;591.35869m;-3.0769479;159.34764m;10.000123k;590.59286m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.862861;498.95181u;327.11927m;53.747922u
2024-09-03 09:36:09.271;79.150000;94.899990;100.00000k;100.00000k;FALSE;FALSE;FALSE;29.032849;50.100000;14.831617;575.29058m;-2.8285856;150.35283m;10.000109k;537.05321m;0.0000000;15.156690;579.85076m;-3.0726863;157.57167m;10.000112k;565.37068m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.863076;528.38558u;326.96930m;53.037513u
2024-09-03 09:36:25.021;94.900000;110.44999;100.00000k;100.00000k;FALSE;FALSE;FALSE;28.965584;50.100000;14.810607;573.19867m;-2.8223343;153.59248m;10.000108k;541.42540m;0.0000000;15.139176;582.77968m;-3.0710067;161.64090m;10.000108k;542.36971m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.863030;529.09428u;326.80091m;17.521021u
2024-09-03 09:36:40.571;110.45000;125.94999;100.00000k;100.00000k;FALSE;FALSE;FALSE;28.984330;50.300000;14.818867;566.12061m;-2.8228875;150.64026m;10.000108k;544.22578m;0.0000000;15.147321;575.32395m;-3.0699335;159.39489m;10.000102k;512.42825m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.863248;517.29954u;326.73591m;22.907581u
2024-09-03 09:36:56.071;125.95000;141.49999;100.00000k;100.00000k;FALSE;FALSE;FALSE;29.018356;50.300000;14.820651;566.87435m;-2.8267608;150.43575m;10.000115k;559.27846m;0.0000000;15.145327;586.52221m;-3.0695048;157.73229m;10.000114k;544.81162m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.863315;512.13447u;326.75955m;71.952910u
2024-09-03 09:37:11.621;141.50000;157.04999;100.00000k;100.00000k;FALSE;FALSE;FALSE;28.964009;50.300000;14.809358;598.46037m;-2.8265350;151.57875m;10.000101k;511.67641m;0.0000000;15.138582;598.50343m;-3.0732168;160.66528m;10.000108k;543.35327m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.863185;515.76329u;326.87376m;22.019990u
2024-09-03 09:37:27.171;157.05000;172.69999;100.00000k;100.00000k;FALSE;FALSE;FALSE;28.613843;50.200000;14.818726;563.36382m;-2.8315658;149.61243m;10.000105k;511.43833m;0.0000000;15.144522;583.26317m;-3.0735724;156.93647m;10.000114k;553.75203m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.863312;510.56967u;326.86579m;17.153327u
2024-09-03 09:37:42.821;172.70000;188.39999;100.00000k;100.00000k;FALSE;FALSE;FALSE;28.003071;50.200000;14.799271;567.45889m;-2.8317997;152.69170m;10.000113k;548.44473m;0.0000000;15.131873;577.57304m;-3.0783219;162.16465m;10.000118k;569.64896m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.863339;515.59306u;326.83238m;26.034508u
2024-09-03 09:37:58.521;188.40000;203.99999;100.00000k;100.00000k;FALSE;FALSE;FALSE;27.354306;50.200000;14.812534;566.86029m;-2.8371541;151.99035m;10.000102k;517.84084m;0.0000000;15.140475;581.73397m;-3.0805369;159.64820m;10.000106k;534.97123m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.863437;512.22177u;326.86010m;23.531238u
2024-09-03 09:38:14.121;204.00000;219.59999;100.00000k;100.00000k;FALSE;FALSE;FALSE;26.844201;50.100000;14.815167;558.04924m;-2.8425309;150.95893m;10.000113k;552.85587m;0.0000000;15.142246;574.04840m;-3.0863766;159.69065m;10.000112k;542.69224m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.863497;510.75395u;326.90686m;44.340345u
2024-09-03 09:38:29.721;219.60000;235.19999;100.00000k;100.00000k;FALSE;FALSE;FALSE;26.497247;49.900000;14.797656;569.63274m;-2.8418035;152.71131m;10.000113k;549.14644m;0.0000000;15.128080;579.73850m;-3.0893785;162.28446m;10.000109k;528.53663m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.863486;509.96875u;326.93879m;18.503495u
2024-09-03 09:38:45.321;235.20000;250.64999;100.00000k;100.00000k;FALSE;FALSE;FALSE;26.258619;50.000000;14.810007;564.96960m;-2.8466733;153.45582m;10.000102k;512.31270m;0.0000000;15.141522;574.78899m;-3.0915381;162.41830m;10.000111k;556.96051m;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;14.863535;521.69081u;327.01767m;63.111719u
