StartTime_us,BitInterval_us
-998.3817990000001,2.2120000000002165
-996.1697989999999,2.217999999999961
-993.9517989999999,2.20599999999979
-991.7457990000001,2.2160000000002356
-989.5297989999999,2.2079999999998563
-987.321799,2.2220000000000937
-985.099799,2.2080000000000837
-982.8917989999999,2.2179999999997335
-980.6737990000001,2.206000000000131
-978.467799,2.2200000000000273
-976.247799,2.2060000000000173
-974.041799,2.225999999999999
-971.815799,2.2119999999998754
-969.6037990000001,2.2240000000000464
-967.379799,2.211999999999989
-965.1677990000001,2.220000000000141
-962.9477989999999,2.213999999999942
-960.733799,2.22199999999998
-958.511799,2.211999999999989
-956.299799,2.2080000000000837
-954.0917989999999,2.20799999999997
-951.883799,2.213999999999942
-949.669799,2.2140000000000555
-947.455799,2.2099999999999227
-945.245799,2.2120000000001028
-943.0337989999999,2.2159999999998945
-940.817799,2.206000000000131
-938.6117989999999,2.217999999999847
-936.3937990000001,2.2040000000000646
-934.189799,2.22199999999998
-931.967799,2.2000000000000455
-929.767799,2.2239999999999327
-927.543799,2.2200000000000273
-925.323799,2.216000000000008
-923.107799,2.213999999999942
-920.8937990000001,2.2220000000000937
-918.671799,2.203999999999951
-916.467799,2.22199999999998
-914.245799,2.2120000000001028
-912.0337989999999,2.2059999999999036
-909.827799,2.2080000000000837
-907.619799,2.213999999999942
-905.405799,2.211999999999989
-903.193799,2.211999999999989
-900.981799,2.213999999999942
-898.7677990000001,2.2140000000000555
-896.553799,2.2100000000000364
-894.343799,2.211999999999989
-892.131799,2.213999999999942
-889.9177990000001,2.214000000000169
-887.7037989999999,2.213999999999942
-885.489799,2.2159999999998945
-883.273799,2.2100000000000364
-881.063799,2.2140000000000555
-878.849799,2.2100000000000364
-876.6397989999999,2.211999999999989
-874.4277989999999,2.2100000000000364
-872.2177989999999,2.2099999999999227
-870.007799,2.2059999999999036
-867.8017990000001,2.220000000000141
-865.5817989999999,2.2059999999999036
-863.375799,2.2240000000000464
-861.151799,2.20799999999997
-858.943799,2.2199999999999136
-856.7237990000001,2.2040000000000646
-854.519799,2.2200000000000273
-852.299799,2.199999999999932
-850.0997990000001,2.2280000000000655
-847.871799,2.2180000000000746
-845.6537989999999,2.2219999999998663
-843.4317990000001,2.2140000000000555
-841.217799,2.22199999999998
-838.995799,2.2100000000000364
-836.785799,2.217999999999961
-834.567799,2.206000000000131
-832.3617989999999,2.22199999999998
-830.1397989999999,2.211999999999989
-827.9277989999999,2.2099999999999227
-825.717799,2.2060000000000173
-823.511799,2.2140000000000555
-821.2977989999999,2.2099999999999227
-819.087799,2.213999999999942
-816.8737990000001,2.2120000000001028
-814.661799,2.217999999999961
-812.443799,2.201999999999998
-810.241799,2.216000000000008
-808.025799,2.2080000000000837
-805.8177989999999,2.2159999999998945
-803.601799,2.1980000000000928
-801.4037989999999,2.22199999999998
-799.181799,2.213999999999942
-796.967799,2.2220000000000937
-794.7457989999999,2.211999999999989
-792.5337989999999,2.22199999999998
-790.311799,2.20799999999997
-788.103799,2.225999999999999
-785.877799,2.20799999999997
-783.669799,2.2080000000000837
-781.4617989999999,2.20799999999997
-779.253799,2.20799999999997
-777.045799,2.2099999999999227
-774.8357990000001,2.2140000000000555
