StartTime_us,PulseWidth_us,Bit
-504.403424,1.1199999999999477,1
-475.641424,1.1119999999999663,1
-473.435424,1.1140000000000327,1
-471.219424,1.1120000000000232,1
-469.013424,1.117999999999995,1
-466.793424,1.113999999999976,1
-464.587424,1.117999999999995,1
-462.373424,1.1100000000000136,1
-442.447424,1.1200000000000045,1
61.942575899999994,1.1200000000000045,1
90.67657589999999,1.1200000000000045,1
92.8865759,1.1200000000000045,1
95.1045759,1.1099999999999994,1
97.3085759,1.1200000000000045,1
99.5305759,1.1080000999999982,1
101.734576,1.117999999999995,1
103.948576,1.1159999999999997,1
123.86457600000001,1.1179999999999808,1
628.760576,1.1159999999999854,1
657.5945760000001,1.1159999999999854,1
659.810576,1.1179999999999382,1
662.032576,1.1100000000000136,1
664.240576,1.1179999999999382,1
666.462576,1.1119999999999663,1
668.672576,1.1219999999999573,1
670.892576,1.1159999999999854,1
690.840576,1.1200000000000045,1
